,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
2912,General debate,A_62_PV.10_E, 2007-09-28 ,Abbas,PLO,Mahmoud  Abbas,PSE,Chairman of the Executive Committee of the Palestine Liberation Organization the Palestinian Authority
2913,General debate,A_62_PV.10_E, 2007-09-28 ,King,Saint Lucia,Stephenson  King,LCA,two permanent members of the United Nations Security Council
2914,General debate,A_62_PV.10_E, 2007-09-28 ,Bainimarama,Fiji,Josaia V.  Bainimarama,FJI,Prime Minister and Commander of the Military Forces of the Republic of Fiji 
2915,General debate,A_62_PV.10_E, 2007-09-28 ,Sturanović,Montenegro,Zeljko  Sturanović,MNE,Prime Minister of the Republic of Montenegro 
2916,General debate,A_62_PV.10_E, 2007-09-28 ,Spencer,Antigua and Barbuda,Winston Baldwin  Spencer,ATG,Prime Minister and Minister for Foreign Affairs of Antigua and Barbuda 
2917,General debate,A_62_PV.10_E, 2007-09-28 ,Ramgoolam,Mauritius,Navinchandra  Ramgoolam,MUS,Prime Minister of the Republic of Mauritius 
2918,General debate,A_62_PV.10_E, 2007-09-28 ,Gonsalves,Saint Vincent and the Grenadines,Ralph  Gonsalves,VCT,Prime Minister
2919,General debate,A_62_PV.10_E, 2007-09-28 ,Abdullah bin Haji Ahmad Badawi,Malaysia,Datuk  Abdullah bin Haji Ahmad Badawi,MYS,capable of being swiftly implemented and universally owned and respected by the 192 Member States of the United Nations. In the global work that needs to be done to address climate change
2920,General debate,A_62_PV.10_E, 2007-09-28 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister of the Independent State of Samoa 
2921,General debate,A_62_PV.10_E, 2007-09-28 ,Macapagal-Arroyo,Philippines,Gloria  Macapagal-Arroyo,PHL,President of the Republic of the Philippines 
2922,General debate,A_62_PV.10_E, 2007-09-28 ,Note,Marshall Islands,Kessai H.  Note,MHL,President of the Republic of the Marshall Islands 
2923,General debate,A_62_PV.10_E, 2007-09-28 ,Lahoud,Lebanon,Andrée Emile  Lahoud,LBN,President of the Lebanese Republic address by the President of the Lebanese Republic. 
2890,General debate,A_62_PV.11_E, 2007-09-28 ,Koumura,Japan,Masahiko  Koumura,JPN,Minister for Foreign Affairs of Japan. in Japanese; interpretation provided by the delegation): First
2891,General debate,A_62_PV.11_E, 2007-09-28 ,Cioroianu,Romania,Adrian Mihai  Cioroianu,ROU,Minister for Foreign Affairs of Romania. Mr. Cioroianu (Romania): Allow me to begin by expressing my sincere appreciation and congratulations to you
2892,General debate,A_62_PV.11_E, 2007-09-28 ,Okanla,Benin,Moussa  Okanla,BEN,Minister for Foreign Affairs
2893,General debate,A_62_PV.11_E, 2007-09-28 ,Bolkiah,Brunei Darussalam,Mohamed  Bolkiah,BRN,Minister for Foreign Affairs and Trade of Brunei Darussalam. Prince Bolkiah (Brunei Darussalam): May I offer my congratulations to you
2894,General debate,A_62_PV.11_E, 2007-09-28 ,Gísladóttir,Iceland,Ingibjörg Sólrún  Gísladóttir,ISL,Minister for Foreign Affairs and External Trade of the Republic of Iceland. Mrs. Gisladottir (Iceland): First
2895,General debate,A_62_PV.11_E, 2007-09-28 ,Song,Republic of Korea,Min-soon  Song,KOR,Minister for Foreign Affairs and Trade of the Republic of Korea. Mr. Song Min-soon (Republic of Korea): I should like first to offer my warmest congratulations to you
2896,General debate,A_62_PV.11_E, 2007-09-28 ,Moratinos Cuyaubé,Spain,Miguel Angel  Moratinos Cuyaubé,ESP,Minister for Foreign Affairs and Cooperation of the Kingdom of Spain. in Spanish): Mr. President
