,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
459,General debate,A_49_PV.10_E, 1994-09-29 ,Lewis Galindo,Panama,Gabriel  Lewis Galindo,PAN,
460,General debate,A_49_PV.10_E, 1994-09-29 ,Filali,Morocco,Abdellatif  Filali,MAR,Prime Minister and Minister of Foreign Affairs and Cooperation of the Kingdom of Morocco 
461,General debate,A_49_PV.10_E, 1994-09-29 ,Peres,Israel,Shimon  Peres,ISR,
462,General debate,A_49_PV.10_E, 1994-09-29 ,Ouellet,Canada,Andre  Ouellet,CAN,Minister of Foreign Affairs of Canada. Mr. Ouellet (Canada) (interpretation from French): Canada is very pleased
463,General debate,A_49_PV.10_E, 1994-09-29 ,Venetiaan,Suriname,Runaldo Ronald  Venetiaan,SUR,President of the Republic of Suriname 
464,General debate,A_49_PV.10_E, 1994-09-29 ,Snegur,Republic of Moldova,Mircea Ion  Snegur,MDA,President of the Republic of Moldova 
450,General debate,A_49_PV.11_E, 1994-09-29 ,Goldenberg Schreiber,Peru,Efrain  Goldenberg Schreiber,PER,Prime Minister and Minister for Foreign Affairs of the Republic of Peru 
451,General debate,A_49_PV.11_E, 1994-09-29 ,Otunbayeva,Kyrgyzstan,Roza  Otunbayeva,KGZ,
452,General debate,A_49_PV.11_E, 1994-09-29 ,Moses,Micronesia,Resio  Moses,FSM,
453,General debate,A_49_PV.11_E, 1994-09-29 ,Poos,Luxembourg,Jacques F.  Poos,LUX,
454,General debate,A_49_PV.11_E, 1994-09-29 ,Daskalov,Bulgaria,Stanislav  Daskalov,BGR,on whom I now call. Mr. Daskalov (Bulgaria): Let me
455,General debate,A_49_PV.11_E, 1994-09-29 ,Abdullah,Oman,Yousuf  Abdullah,OMN,
456,General debate,A_49_PV.11_E, 1994-09-29 ,Mock,Austria,Alois  Mock,AUT,
457,General debate,A_49_PV.11_E, 1994-09-29 ,Martino,Italy,Antonio.  Martino,ITA,
458,General debate,A_49_PV.11_E, 1994-09-29 ,Aliyev,Azerbaijan,Heydar Alirza oglu  Aliyev,AZE,President of the Azerbaijani Republic 
444,General debate,A_49_PV.12_E, 1994-09-30 ,SOYSAL,Turkey,MUMTAZ  SOYSAL,TUR,
445,General debate,A_49_PV.12_E, 1994-09-30 ,Moussa,Egypt,Amre  Moussa,EGY,
446,General debate,A_49_PV.12_E, 1994-09-30 ,Solana,Spain,Javier  Solana,ESP,
447,General debate,A_49_PV.12_E, 1994-09-30 ,Sirivudh,Cambodia,Prince of Cambodia  Sirivudh,KHM,on whom I now call. Prince Norodom Sirivudh (Cambodia)(interpretation from French): On this solemn occasion allow me first to convey to you
448,General debate,A_49_PV.12_E, 1994-09-30 ,Caldera,Venezuela,Rafael Venezuela. Presidente  Caldera,VEN,President of the Republic of Venezuela 
449,General debate,A_49_PV.12_E, 1994-09-30 ,Brazauska,Lithuania,Algirdas  Brazauska,LTU,President of the Republic of Lithuania 
435,General debate,A_49_PV.13_E, 1994-09-30 ,Albert II,Monaco,Prince of Monaco  Albert II,MCO,Ruling Prince and Head of State of Liechtenstein
436,General debate,A_49_PV.13_E, 1994-09-30 ,Dossou,Benin,Robert  Dossou,BEN,
437,General debate,A_49_PV.13_E, 1994-09-30 ,Lafraie,Afghanistan,Najibullah  Lafraie,AFG,and I call on him. Mr. Lafraie (Afghanistan): It gives me great pleasure to convey on behalf of the Islamic State of Afghanistan our warm felicitations to Mr. Amara Essy on his unanimous election to the high office of President of the forty-ninth session of the General Assembly. 
438,General debate,A_49_PV.13_E, 1994-09-30 ,Ruiz Sanchez de Vielman,Guatemala,Gladys  Ruiz Sanchez de Vielman,GTM,
439,General debate,A_49_PV.13_E, 1994-09-30 ,Petersen,Denmark,Niels Helveg  Petersen,DNK,
440,General debate,A_49_PV.13_E, 1994-09-30 ,Jayakumar,Singapore,Shunmugam  Jayakumar,SGP,
441,General debate,A_49_PV.13_E, 1994-09-30 ,De Marco,Malta,Guido  De Marco,MLT,the United Nations Special Mission should try to find common ground with a view to ensuring a compromise approach that would lead to national rapprochement among Afghans. We are fully confident that Ambassador Mestiri will keep this in mind as the core of his mandate. If the Afghans
442,General debate,A_49_PV.13_E, 1994-09-30 ,Willi,Liechtenstein,Andrea  Willi,LIE,"""for man to go over to the side of man"
443,General debate,A_49_PV.13_E, 1994-09-30 ,Rakhmonov,Tajikistan,Emomali  Rakhmonov,TJK,Head of State and Chairman of the Supreme Council of the Republic of Tajikistan 
429,General debate,A_49_PV.14_E, 1994-10-03 ,Mukherjee,India,Shri Pranab  Mukherjee,IND,
430,General debate,A_49_PV.14_E, 1994-10-03 ,Kovács,Hungary,László  Kovács,HUN,
431,General debate,A_49_PV.14_E, 1994-10-03 ,Han,Republic of Korea,Sung-Joo  Han,KOR,
432,General debate,A_49_PV.14_E, 1994-10-03 ,Al-Shara',Syrian Arab Republic,Farouk  Al-Shara',SYR,
433,General debate,A_49_PV.14_E, 1994-10-03 ,Mandela,South Africa,Nelson  Mandela,ZAF,President of the Republic of South Africa 
434,General debate,A_49_PV.14_E, 1994-10-03 ,Clerides,Cyprus,Glafcos  Clerides,CYP,President of the Republic of Cyprus 
421,General debate,A_49_PV.15_E, 1994-10-03 ,Mocumbi,Mozambique,Pascoal  Mocumbi,MOZ,
422,General debate,A_49_PV.15_E, 1994-10-03 ,Musyoka,Kenya,Stephen Kalonzo  Musyoka,KEN,
423,General debate,A_49_PV.15_E, 1994-10-03 ,Ping,Gabon,Jean  Ping,GAB,
424,General debate,A_49_PV.15_E, 1994-10-03 ,Robaina Gonzalez,Cuba,Roberto  Robaina Gonzalez,CUB,
425,General debate,A_49_PV.15_E, 1994-10-03 ,Al-Rawdhan,Kuwait,Nasser  Al-Rawdhan,KWT,
426,General debate,A_49_PV.15_E, 1994-10-03 ,Zieleniec,Czech Republic,Josef  Zieleniec,CZE,the centennial of whose death in our struggle for true independence will come next year
427,General debate,A_49_PV.15_E, 1994-10-03 ,Evans,Australia,Gareth J.  Evans,AUS,
428,General debate,A_49_PV.15_E, 1994-10-03 ,Ben Yahia,Tunisia,Habib  Ben Yahia,TUN,
415,General debate,A_49_PV.16_E, 1994-10-04 ,Chikvaidze,Georgia,Aleksandr Aleksandrovich  Chikvaidze,GEO,
416,General debate,A_49_PV.16_E, 1994-10-04 ,Alatas,Indonesia,Ali  Alatas,IDN,President of the United Republic of Tanzania 
417,General debate,A_49_PV.16_E, 1994-10-04 ,Hassan bin Talal,Jordan,Crown Prince of Jordan  Hassan bin Talal,JOR,both small and large
418,General debate,A_49_PV.16_E, 1994-10-04 ,Ali,Pakistan,Sardar  Ali,PAK,President of the United Republic of Tanzania 
419,General debate,A_49_PV.16_E, 1994-10-04 ,Ribas Reig,Andorra,Oscar  Ribas Reig,AND,Prime Minister of the Principality of Andorra
420,General debate,A_49_PV.16_E, 1994-10-04 ,Mwinyi,United Republic of Tanzania,Ali  Mwinyi,TZA,President of the United Republic of Tanzania 
406,General debate,A_49_PV.17_E, 1994-10-04 ,Serreqi,Albania,Alfred  Serreqi,ALB,
407,General debate,A_49_PV.17_E, 1994-10-04 ,Lengsavad,Lao People's Democratic Republic,Somsavat  Lengsavad,LAO,
408,General debate,A_49_PV.17_E, 1994-10-04 ,Zoumanigui,Guinea,Kozo  Zoumanigui,GIN,
409,General debate,A_49_PV.17_E, 1994-10-04 ,Ouedraogo,Burkina Faso,Ablasse  Ouedraogo,BFA,
410,General debate,A_49_PV.17_E, 1994-10-04 ,Ramírez Boettner,Paraguay,Luis Maria  Ramírez Boettner,PRY,
411,General debate,A_49_PV.17_E, 1994-10-04 ,Saud al-Faisal,Saudi Arabia,Prince of Saudi Arabia  Saud al-Faisal,SAU,the established democratic system was reaffirmed by the calm that prevailed during the electoral process that was completed at the end of last week. 17th meeting 4 October 1994 One of the major causes of the instability that generates conflict is poverty
412,General debate,A_49_PV.17_E, 1994-10-04 ,Kamilov,Uzbekistan,Abdulaziz  Kamilov,UZB,and his hope that at this session the General Assembly will successfully deal with international developments
413,General debate,A_49_PV.17_E, 1994-10-04 ,Veiga,Cape Verde,Carlos  Veiga,CPV,Prime Minister and Minister of Defence of the Republic of Cape Verde 17th meeting 4 October 1994 We should also like to express to the Secretary- General our appreciation for the far-sightedness with which he is performing the task of guiding the United Nations in the new era into which it has entered. In recent years there has been broad agreement that the great events that have shaken the world
414,General debate,A_49_PV.17_E, 1994-10-04 ,Aristide,Haiti,Jean-Bertrand  Aristide,HTI,President of the Republic of Haiti 
400,General debate,A_49_PV.18_E, 1994-10-05 ,Al-Nuaimi,United Arab Emirates,Rashid Abdullah  Al-Nuaimi,ARE,
401,General debate,A_49_PV.18_E, 1994-10-05 ,Romulo,Philippines,Roberto  Romulo,PHL,
402,General debate,A_49_PV.18_E, 1994-10-05 ,Kengo-wa-Dondo (Zaire),Zaire,engo-wa-Dondo ,COD,President of AFORD. My Government has refrained from any form of witch-hunting or revenge against members of the former regime. No one in Malawi need ever fear for his life or liberty simply because he holds differing political views or beliefs. In this context
403,General debate,A_49_PV.18_E, 1994-10-05 ,Anwar Ibrahim (Malaysia),Malaysia,nwar Ibrahim ,MYS,
404,General debate,A_49_PV.18_E, 1994-10-05 ,Jugnauth,Mauritius,Anerood  Jugnauth,MUS,Prime Minister of the Republic of Mauritius 
405,General debate,A_49_PV.18_E, 1994-10-05 ,Muluzi,Malawi,Bakili  Muluzi,MWI,President of the Republic of Malawi 
393,General debate,A_49_PV.19_E, 1994-10-05 ,Seniloli,Fiji,Ratu  Seniloli,FJI,
394,General debate,A_49_PV.19_E, 1994-10-05 ,Bundu,Sierra Leone,Abass  Bundu,SLE,
395,General debate,A_49_PV.19_E, 1994-10-05 ,Basendwah,Yemen,Mohamed Salem  Basendwah,YEM,
396,General debate,A_49_PV.19_E, 1994-10-05 ,Oyono,Cameroon,Ferdinand Leopold  Oyono,CMR,
397,General debate,A_49_PV.19_E, 1994-10-05 ,Asamoah,Ghana,Obed  Asamoah,GHA,
398,General debate,A_49_PV.19_E, 1994-10-05 ,Choe,Democratic People's Republic of Korea,Su Hon  Choe,PRK,former President of the Democratic Peoples Republic of Korea. May I also take this opportunity to extend our profound thanks to the Heads of State or Government
399,General debate,A_49_PV.19_E, 1994-10-05 ,Patasse,Central African Republic,Ange-Felix  Patasse,CAF,and to invite him to address the Assembly. President Patasse (interpretation from French): 
379,General debate,A_49_PV.20_E, 1994-10-06 ,Sy,Mali,Kadiatou Sow  Sy,MLI,
380,General debate,A_49_PV.20_E, 1994-10-06 ,Saudabayev,Kazakhstan,Kanat  Saudabayev,KAZ,
381,General debate,A_49_PV.20_E, 1994-10-06 ,Bird,Antigua and Barbuda,Lester  Bird,ATG,Prime Minister and Minister for Foreign Affairs of Antigua and Barbuda 
382,General debate,A_49_PV.20_E, 1994-10-06 ,Rahman,Bangladesh,Mustafizur  Rahman,BGD,
383,General debate,A_49_PV.20_E, 1994-10-06 ,Al-Khalifa,Bahrain,Mohamed  Al-Khalifa,BHR,on whom I now call. Mr. Al-Khalifa (Bahrain) (interpretation from Arabic): It is my pleasure at the outset to extend to you as President of the Assembly at its forty-ninth session
384,General debate,A_49_PV.20_E, 1994-10-06 ,Hinds,Guyana,Samuel  Hinds,GUY,Prime Minister of the Republic of Guyana 
385,General debate,A_49_PV.21_E, 1994-10-06 ,Olhaye,Djibouti,Roble  Olhaye,DJI,
386,General debate,A_49_PV.21_E, 1994-10-06 ,Mesfin,Ethiopia,Seyoum  Mesfin,ETH,on whom I now call. the Minister of Foreign Affairs of is Mr. Mesfin (Ethiopia): Allow me first to extend to Ambassador Amara Essy heartfelt congratulations on his unanimous election to preside over the forty-ninth session of the General Assembly. His election is a fitting tribute both to him and to his country
