,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4040,General debate,A_68_PV.10_E, 2013-09-25 ,Persad-Bissessar,Trinidad and Tobago,Kamla   Persad-Bissessar,TTO,Prime Minister of the Republic of Trinidad and Tobago 
4041,General debate,A_68_PV.10_E, 2013-09-25 ,Eide,Norway,Espen Barth  Eide,NOR,Minister for Foreign Affairs of the Kingdom of Norway. Mr. Eide (Norway): We are living in times of rapid change. Global and regional dynamics are transforming global governance. A changing world will inevitably change the United Nations. But we
4042,General debate,A_68_PV.10_E, 2013-09-25 ,Moukoko Mbonjo,Cameroon,Pierre  Moukoko Mbonjo,CMR,Minister for Foreign Affairs of the Republic of Cameroon. Mr. Moukoko Mbonjo (Cameroon) (spoke in French): Allow me at the outset to convey to all present the apologies of His Excellency Paul Biya
4043,General debate,A_68_PV.10_E, 2013-09-25 ,Oqilov,Tajikistan,Oqil  Oqilov,TJK,Prime Minister of the Republic of Tajikistan 
4044,General debate,A_68_PV.10_E, 2013-09-25 ,Rajoy Brey,Spain,Mariano  Rajoy Brey,ESP,President of the Government of the Kingdom of Spain 
4045,General debate,A_68_PV.10_E, 2013-09-25 ,Zeidan,Libya,Ali  Zeidan,LBY,Prime Minister of Libya 
4046,General debate,A_68_PV.10_E, 2013-09-25 ,Morales Ayma,Bolivia,Evo  Morales Ayma,BOL,Constitutional President of the Plurinational State of Bolivia 
4047,General debate,A_68_PV.10_E, 2013-09-25 ,Dhoinine,Comoros,Ikililou  Dhoinine,COM,President of the Union of the Comoros 
4048,General debate,A_68_PV.10_E, 2013-09-25 ,Remengesau,Palau,Thomas Esang  Remengesau,PLW,
4049,General debate,A_68_PV.10_E, 2013-09-25 ,Funes Cartagena,El Salvador,Carlos Mauricio  Funes Cartagena,SLV,President of the Republic of El Salvador 
4026,General debate,A_68_PV.12_E, 2013-09-26 ,Abe,Japan,Shinzo  Abe,JPN,Prime Minister of Japan 
4027,General debate,A_68_PV.12_E, 2013-09-26 ,Muscat,Malta,Joseph  Muscat,MLT,Prime Minister of the Republic of Malta 
4028,General debate,A_68_PV.12_E, 2013-09-26 ,Abbas,State of Palestine,Mahmoud  Abbas,PSE,President of the State of Palestine 
4029,General debate,A_68_PV.12_E, 2013-09-26 ,Pérez Molina,Guatemala,Otto Fernando  Pérez Molina,GTM,President of the Republic of Guatemala 
4030,General debate,A_68_PV.12_E, 2013-09-26 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe 
4031,General debate,A_68_PV.12_E, 2013-09-26 ,Waqa,Nauru,Baron Divavesi  Waqa,NRU,President of the Republic of Nauru 
4032,General debate,A_68_PV.12_E, 2013-09-26 ,Grybauskaite,Lithuania,Dalia  Grybauskaite,LTU,President of the Republic of Lithuania 
4033,General debate,A_68_PV.12_E, 2013-09-26 ,Marzouki,Tunisia,Mohamed Moncef  Marzouki,TUN,President of the Republic of Tunisia 
4034,General debate,A_68_PV.12_E, 2013-09-26 ,Pahor,Slovenia,Borut  Pahor,SVN,President of the Republic of Slovenia 
4035,General debate,A_68_PV.12_E, 2013-09-26 ,Tsakhia,Mongolia,Elbegdorj  Tsakhia,MNG,President of Mongolia 
4036,General debate,A_68_PV.12_E, 2013-09-26 ,Mahama,Ghana,John Dramani   Mahama,GHA,President of the Republic of Ghana 
4037,General debate,A_68_PV.12_E, 2013-09-26 ,Anastasiades,Cyprus,Nicos  Anastasiades,CYP,President of the Republic of Cyprus 
4038,General debate,A_68_PV.12_E, 2013-09-26 ,Pohamba,Namibia,Hifikepunye  Pohamba,NAM,President of the Republic of Namibia 
4039,General debate,A_68_PV.12_E, 2013-09-26 ,Ramotar,Guyana,Donald Rabindranauth  Ramotar,GUY,President of the Republic of Guyana 
4017,General debate,A_68_PV.13_E, 2013-09-26 ,Thabane,Lesotho,Thomas Motsoahae  Thabane,LSO,Prime Minister and Head of Government
4018,General debate,A_68_PV.13_E, 2013-09-26 ,Leanca,Republic of Moldova,Iurie  Leanca,MDA,Prime Minister of the Republic of Moldova 
4019,General debate,A_68_PV.13_E, 2013-09-26 ,Tiangaye,Central African Republic,Nicolas  Tiangaye,CAF,Prime Minister
4020,General debate,A_68_PV.13_E, 2013-09-26 ,Igga,South Sudan,James Wani  Igga,SSD,Vice-President of the Republic of South Sudan 
4021,General debate,A_68_PV.13_E, 2013-09-26 ,Nhamadjo,Guinea-Bissau,Manuel Serifo  Nhamadjo,GNB,Interim President of the Republic of Guinea-Bissau 
4022,General debate,A_68_PV.13_E, 2013-09-26 ,Mohamud,Somalia,Hassan Sheikh  Mohamud,SOM,President of the Federal Republic of Somalia 
4023,General debate,A_68_PV.13_E, 2013-09-26 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo,GNQ,President of the Republic of Equatorial Guinea 
4024,General debate,A_68_PV.13_E, 2013-09-26 ,Loeak,Marshall Islands,Christopher Jorebon  Loeak,MHL,President of the Republic of the Marshall Islands 
4025,General debate,A_68_PV.13_E, 2013-09-26 ,Josipovic,Croatia,Ivo  Josipovic,HRV,President of the Republic of Croatia 
4009,General debate,A_68_PV.14_E, 2013-09-26 ,Bako-Arifari,Benin,Nassirou   Bako-Arifari,BEN,Minister for Foreign Affairs
4010,General debate,A_68_PV.14_E, 2013-09-26 ,Meade Kuribreña,Mexico,José  Meade Kuribreña,MEX,Minister for Foreign Affairs of Mexico. Mr. Meade Kuribrena in Spanish): On behalf of President Enrique Pena Nieto
4011,General debate,A_68_PV.14_E, 2013-09-26 ,Kavakure,Burundi,Laurent  Kavakure,BDI,Minister for Foreign Affairs and International Cooperation of the Republic of Burundi. Mr. Kavakure (Burundi) (spoke in French): On this special occasion
4012,General debate,A_68_PV.14_E, 2013-09-26 ,Kamara,Sierra Leone,Samura M.W.  Kamara,SLE,Minister for Foreign Affairs and International Cooperation of the Republic of Sierra Leone. Mr. Kamara (Sierra Leone): I bring you sincere greetings and very best wishes from His Excellency Mr. Ernest Bai Koroma
4013,General debate,A_68_PV.14_E, 2013-09-26 ,Lamamra,Algeria,Ramtane  Lamamra,DZA,Minister for Foreign Affairs of the Peoples Democratic Republic of Algeria. Mr. Lamamra (Algeria) (spoke in Arabic): I would like first of all to warmly congratulate Mr. John Ashe
4014,General debate,A_68_PV.14_E, 2013-09-26 ,Key,New Zealand,John  Key,NZL,Prime Minister of New Zealand 
4015,General debate,A_68_PV.14_E, 2013-09-26 ,Lamothe,Haiti,Laurent Salvador  Lamothe,HTI,Prime Minister and Minister of Planning and External Coopertion of the Republic of Haiti 
