,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
109,General debate,A_47_PV.11_E, 1992-09-24 ,Gassymov,Azerbaijan,T.  Gassymov,AZE,New York
110,General debate,A_47_PV.11_E, 1992-09-24 ,Kijiner,Marshall Islands,Tom  Kijiner,MHL,
111,General debate,A_47_PV.11_E, 1992-09-24 ,Lumbi Okongo,Zaire,P.  Lumbi Okongo,COD,and incorporated in a copy of the record. 1352-53V (E) Ka-z) Address by Mr. Milan Kucan
112,General debate,A_47_PV.11_E, 1992-09-24 ,Tavernas-Guzman,Dominican Republic,Juan Aristides  Tavernas-Guzman,DOM,Dominican Republic) 
113,General debate,A_47_PV.11_E, 1992-09-24 ,Papaconstantinou,Greece,Michael  Papaconstantinou,GRC,
114,General debate,A_47_PV.11_E, 1992-09-24 ,Bolger,New Zealand,James Brendan  Bolger,NZL,Prime Minister of New Zealand Statements made by Mr. Papaconstantinou (Greece) Mr. Taveras Guzman (Dominican Republic) Mr. Lumbi Okongo (Zaire) Mr. Kijiner (Marshall Islands) Mr. Gassymov (Azerbaijan) Appointments to fill vacancies in subsidiary organs and other appointments [17] (a) Appointment of members of the Advisory Committee on Administrative and Budgetary Questions: report of the Fifth Committee (Part I) 2 
115,General debate,A_47_PV.11_E, 1992-09-24 ,Claes,Belgium,Willy  Claes,BEL,
116,General debate,A_47_PV.11_E, 1992-09-24 ,Al-Sabah,Kuwait,S.A.J.  Al-Sabah,KWT,
117,General debate,A_47_PV.11_E, 1992-09-24 ,Ajodhia,Suriname,J.R.  Ajodhia,SUR,Vice-President of the Republic of Suriname Statements made by Sheikh Salem Sabah Al-Salem Al-Sabah (Kuwait) Mr. Claes (Belgium) Address by Mr. James Brendan Bolger
118,General debate,A_47_PV.11_E, 1992-09-24 ,Kucan,Slovenia,Milan  Kucan,SVN,President of the presidency of the Republic of Slovenia General debate [9] (continued) Address by Mr. Jules Rattankoemar Ajodhia
