,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
1849,General debate,A_57_PV.12_E, 2002-09-17 ,Al-Nasser,Qatar,Nassir Abdulaziz  Al-Nasser,QAT,Chairman of the delegation of Qatar. Mr. Al-Nasser (Qatar): I would like to thank you
1850,General debate,A_57_PV.12_E, 2002-09-17 ,Ruckauf,Argentina,Carlos  Ruckauf,ARG,
1851,General debate,A_57_PV.12_E, 2002-09-17 ,Abdi,Mauritania,Dah Ould  Abdi,MRT,the Minister for Foreign Affairs and Cooperation of Mauritania. Mr. Abdi (Mauritania) (spoke in Arabic): Mr. President
1852,General debate,A_57_PV.12_E, 2002-09-17 ,Khvostov,Belarus,Mikhail M.  Khvostov,BLR,Minister for Foreign Affairs of Belarus. Mr. Khvostov (Belarus) (spoke in Russian): I congratulate you
1853,General debate,A_57_PV.12_E, 2002-09-17 ,Surakiart Sathirathai (Thailand),Thailand,urakiart Sathirathai ,THA,Minister for Foreign Affairs of Thailand. 17 Mr. Sathirathai (Thailand): I would like
1854,General debate,A_57_PV.12_E, 2002-09-17 ,Palacio Vallelersundi,Spain,Ana  Palacio Vallelersundi,ESP,Minister for Foreign Affairs of Spain. Ms. Palacio (Spain) (spoke in Spanish): 
1855,General debate,A_57_PV.12_E, 2002-09-17 ,Picula,Croatia,Tonino  Picula,HRV,Minister for Foreign Affairs of Croatia. Mr. Tonino Picula (Croatia): At the outset
1856,General debate,A_57_PV.12_E, 2002-09-17 ,Thinley,Bhutan,Jigmi  Thinley,BTN,Minister for Foreign Affairs of the Kingdom of Bhutan. Mr. Thinley (Bhutan): We have before us an array of issues that are as compelling and daunting as ever before. Many of these threaten to widen further the divides that separate us and deepen more the wounds that pain us. 
1857,General debate,A_57_PV.12_E, 2002-09-17 ,Asgrímsson,Iceland,Halldór  Asgrímsson,ISL,Pope Paul VI declared from that development is the new name of peace. That brief and wise sentence is fully valid today and points towards the path that we should follow. this same rostrum 
1858,General debate,A_57_PV.12_E, 2002-09-17 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister and Minister for Foreign Affairs of the Independent State of Samoa 
1859,General debate,A_57_PV.12_E, 2002-09-17 ,Neves,Cape Verde,José Maria Pereira  Neves,CPV,Prime Minister of the Republic of Cape Verde 
1860,General debate,A_57_PV.12_E, 2002-09-17 ,Bouteflika,Algeria,Abdelaziz  Bouteflika,DZA,President of the Peoples Democratic Republic of Algeria 
1837,General debate,A_57_PV.13_E, 2002-09-17 ,Kaddoumi,Palestine,Farouk  Kaddoumi,PSE,
1838,General debate,A_57_PV.13_E, 2002-09-17 ,Choe,Democratic People's Republic of Korea,Su Hon  Choe,PRK,Deputy Minister for Foreign Affairs of the Democratic People(cid:146)s Republic of Korea. Mr. Choe Su Hon (Democratic People(cid:146)s Republic of Korea) (spoke in Korean; English text furnished by to congratulate you
1839,General debate,A_57_PV.13_E, 2002-09-17 ,El-Amine,Comoros,Souef Mohamed  El-Amine,COM,Minister of State and Minister for Foreign Affairs
1840,General debate,A_57_PV.13_E, 2002-09-17 ,Gadio,Senegal,Cheikh Tidiane  Gadio,SEN,Minister for Foreign Affairs
1841,General debate,A_57_PV.13_E, 2002-09-17 ,Opertti,Uruguay,Didier  Opertti,URY,Minister for Foreign Affairs of Uruguay and former President of the General Assembly. the acceleration of Mr. Opertti (Uruguay) (spoke in Spanish): 
1842,General debate,A_57_PV.13_E, 2002-09-17 ,Casule,The former Yugoslav Republic of Macedonia,Slobodan  Casule,MKD,Minister for Foreign Affairs of the former Yugoslav Republic of Macedonia. Mr. Casule (
1843,General debate,A_57_PV.13_E, 2002-09-17 ,Ople,Philippines,Blas  Ople,PHL,Secretary of Foreign Affairs of the Philippines. Mr. Ople (Philippines): As we welcome our newest members
1844,General debate,A_57_PV.13_E, 2002-09-17 ,Kikwete,United Republic of Tanzania,Jakaya  Kikwete,TZA,Minister for Foreign Affairs and International Cooperation of the United Republic of Tanzania. Mr. Kikwete (United Republic of Tanzania): I should like to begin by congratulating Mr. Kavan on his well-deserved election to the presidency of the General Assembly at its fifty-seventh session and to assure him of my delegation(cid:146)s full support and cooperation. I would also like to commend his predecessor
1845,General debate,A_57_PV.13_E, 2002-09-17 ,Briceño,Belize,John  Briceño,BLZ,Deputy Prime Minister and Minister of Natural Resources
1846,General debate,A_57_PV.13_E, 2002-09-17 ,Albert II,Monaco,Prince of Monaco  Albert II,MCO,Crown Prince of the Principality of Monaco 
1847,General debate,A_57_PV.13_E, 2002-09-17 ,Kemakeza,Solomon Islands,Allan  Kemakeza,SLB,Prime Minister of Solomon Islands 
1848,General debate,A_57_PV.13_E, 2002-09-17 ,Mogae,Botswana,Festus  Mogae,BWA,President of the Republic of Botswana 
1825,General debate,A_57_PV.14_E, 2002-09-18 ,Neil,Jamaica,Stafford Oliver  Neil,JAM,chairman of Jamaica. I now give floor the Mr. Neil (Jamaica): On behalf of the delegation of Jamaica
1826,General debate,A_57_PV.14_E, 2002-09-18 ,Hammoud,Lebanon,Mahmoud  Hammoud,LBN,
1827,General debate,A_57_PV.14_E, 2002-09-18 ,Idji,Benin,Kolawolé  Idji,BEN,Minister for Foreign Affairs of Benin. Mr. Idji (Benin) (spoke in French): On behalf of the delegation of the Republic of Benin
1828,General debate,A_57_PV.14_E, 2002-09-18 ,Simão,Mozambique,Leonardo Santos  Simão,MOZ,Minister for Foreign Affairs and Cooperation of Mozambique. to join previous speakers in congratulating Mr. Jan Kavan on his election as President of the fifty-seventh session of the General Assembly. We are confident that
1829,General debate,A_57_PV.14_E, 2002-09-18 ,Nguyen,Viet Nam,Dy Nien  Nguyen,VNM,Minister for Foreign Affairs of Viet Nam. Mr. Nguyen Dy Nien (Viet Nam): Mr. President
1830,General debate,A_57_PV.14_E, 2002-09-18 ,Fall,Guinea,François Lonsény  Fall,GIN,Minister for Foreign Affairs and Cooperation of Guinea. Mr. Fall (Guinea) (spoke in French): Allow me
1831,General debate,A_57_PV.14_E, 2002-09-18 ,Casali,San Marino,Augusto  Casali,SMR,Minister for Foreign and Political Affairs of San Marino. Mr. Casali (San Marino) (spoke in Italian; English text provided by delegation): On behalf of the Government of the Republic of San Marino
1832,General debate,A_57_PV.14_E, 2002-09-18 ,Hor,Cambodia,Namhong  Hor,KHM,Senior Minister and Minister for Foreign Affairs and International Cooperation of Cambodia. (spoke (Cambodia) Mr. Hor Namhong in French): I should like at the outset to join other speakers in congratulating you
1833,General debate,A_57_PV.14_E, 2002-09-18 ,Peres,Israel,Shimon  Peres,ISR,
1834,General debate,A_57_PV.14_E, 2002-09-18 ,Wirayuda,Indonesia,Hassan  Wirayuda,IDN,
1835,General debate,A_57_PV.14_E, 2002-09-18 ,Ismail,Sudan,Mustafa Osman  Ismail,SDN,Minister for Foreign Affairs of Sudan. 
1836,General debate,A_57_PV.14_E, 2002-09-18 ,Vohor,Vanuatu,Rialuth Serge  Vohor,VUT,Deputy Prime Minister and Minister for Foreign Affairs and External Trade of the Republic of Vanuatu. (Vanuatu): Mr. Vohor this honourable Assembly
1813,General debate,A_57_PV.15_E, 2002-09-18 ,Ataeva,Turkmenistan,Aksoltan T.  Ataeva,TKM,
