,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
1754,General debate,A_56_PV.44_E, 2001-11-10 ,Michel,Belgium,Louis  Michel,BEL,Deputy Prime Minister and Minister for Foreign Affairs of Belgium. Mr. Michel (Belgium) (spoke in French): I have the honour today to speak on behalf of the European Union
1755,General debate,A_56_PV.44_E, 2001-11-10 ,Zlenko,Ukraine,Anatoli  Zlenko,UKR,Minister for Foreign Affairs of Ukraine. Mr. Zlenko (Ukraine): Allow me at the outset to congratulate the President of the General Assembly at its fifty-sixth session
1756,General debate,A_56_PV.44_E, 2001-11-10 ,Lee,Republic of Korea,Han-dong  Lee,KOR,Prime Minister of the Republic of Korea 
1757,General debate,A_56_PV.44_E, 2001-11-10 ,Vajpayee,India,Atal Bihari  Vajpayee,IND,Prime Minister of the Republic of India 
1758,General debate,A_56_PV.44_E, 2001-11-10 ,Khatami,Iran,Seyed Mohammad  Khatami,IRN,President of the Islamic Republic of Iran 
1759,General debate,A_56_PV.44_E, 2001-11-10 ,Lagos Escobar,Chile,Ricardo  Lagos Escobar,CHL,President of the Republic of Chile 
1760,General debate,A_56_PV.44_E, 2001-11-10 ,Chávez Frías,Venezuela,Hugo  Chávez Frías,VEN,President of the Bolivarian Republic of Venezuela 
1761,General debate,A_56_PV.44_E, 2001-11-10 ,Rúa,Argentina,Fernando de la  Rúa,ARG,President of the Argentine Republic 
1762,General debate,A_56_PV.44_E, 2001-11-10 ,Batlle Ibañez,Uruguay,Jorge  Batlle Ibañez,URY,President of the Eastern Republic of Uruguay 
1763,General debate,A_56_PV.44_E, 2001-11-10 ,Fox,Mexico,Vicente  Fox,MEX,President of the United Mexican States 
1764,General debate,A_56_PV.44_E, 2001-11-10 ,Al-Thani,Qatar,Sheikh Hamad bin Khalifa  Al-Thani,QAT,Emir of the State of Qatar
1765,General debate,A_56_PV.44_E, 2001-11-10 ,Bush,United States,George W.  Bush,USA,Brazil extends its full solidarity and support to the people of the United States in its response to terrorism. To our understanding
1766,General debate,A_56_PV.44_E, 2001-11-10 ,Mbeki,South Africa,Thabo  Mbeki,ZAF,President of the Republic of South Africa 
1767,General debate,A_56_PV.44_E, 2001-11-10 ,Cardoso,Brazil,Fernando Henrique  Cardoso,BRA,President of the Federative Republic of Brazil 
1740,General debate,A_56_PV.45_E, 2001-11-10 ,Flores Bermúdez,Honduras,Roberto  Flores Bermúdez,HND,
1741,General debate,A_56_PV.45_E, 2001-11-10 ,Mudenge,Zimbabwe,Isack Stanislaus Gorerazvo  Mudenge,ZWE,
