,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
1194,General debate,A_53_PV.10_E, 1998-09-22 ,Simão,Mozambique,Leonardo Santos  Simão,MOZ,
1195,General debate,A_53_PV.10_E, 1998-09-22 ,Gurirab,Namibia,Theo-Ben  Gurirab,NAM,
1196,General debate,A_53_PV.10_E, 1998-09-22 ,Halonen,Finland,Tarja Kaarina  Halonen,FIN,on whom I now call. 24 General Assembly Fifty-third session year we Ms. Halonen (Finland): This are commemorating the fiftieth anniversary of the proclamation of the Universal Declaration of Human Rights. I should like therefore to congratulate Mr. Opertti very warmly upon his election to the presidency of this session. Finland will give him its full support in his demanding task. Finland aligns itself with the statement made by my Austrian colleague
1197,General debate,A_53_PV.10_E, 1998-09-22 ,Derycke,Belgium,Erik  Derycke,BEL,Minister for Foreign Affairs of Belgium. (Belgium) Mr. Derycke (interpretation from French): I would first like to congratulate our colleague
1198,General debate,A_53_PV.10_E, 1998-09-22 ,Boyd,Panama,Aquilino E.  Boyd,PAN,
1199,General debate,A_53_PV.10_E, 1998-09-22 ,Petersen,Denmark,Niels Helveg  Petersen,DNK,
1200,General debate,A_53_PV.10_E, 1998-09-22 ,Lengsavad,Lao People's Democratic Republic,Somsavat  Lengsavad,LAO,on whom I now call. Mr. Lengsavad (Lao Peoples Democratic Republic) (spoke in Laotian; interpretation from French text furnished by the delegation): First of all
1201,General debate,A_53_PV.10_E, 1998-09-22 ,Mudenge,Zimbabwe,Isack Stanislaus Gorerazvo  Mudenge,ZWE,Minister for Foreign Affairs of Zimbabwe. Mr. Mudenge (Zimbabwe): At the outset I would like to congratulate Mr. Didier Opertti on his unanimous election to the presidency of the fifty-third session of the General Assembly. His election is a well-deserved tribute to his own admirable diplomatic skills and also a vote of confidence in his country
1186,General debate,A_53_PV.11_E, 1998-09-23 ,Okoto Lolakombe,Democratic Republic of the Congo,Jean-Charles  Okoto Lolakombe,COD,
1187,General debate,A_53_PV.11_E, 1998-09-23 ,Al-Nuaimi,United Arab Emirates,Rashid Abdullah  Al-Nuaimi,ARE,
1188,General debate,A_53_PV.11_E, 1998-09-23 ,Dini,Italy,Lamberto  Dini,ITA,to whom I give the floor. Mr. Dini (Italy): I congratulate you
1189,General debate,A_53_PV.11_E, 1998-09-23 ,Védrine,France,Hubert  Védrine,FRA,to whom I give the floor. Mr. Vedrine (France) (interpretation from French): Allow me at the outset to congratulate you
1190,General debate,A_53_PV.11_E, 1998-09-23 ,Tang,China,Jiaxuan  Tang,CHN,on whom I now call. Mr. Tang Jiaxuan (China) (interpretation from Chinese): I wish to congratulate Mr. Opertti on his assumption of the presidency of the General Assembly at its current session. I believe that his wisdom and experience will enable him to accomplish his important mission with distinction. I would also like to express my appreciation for the contribution made by Mr. Udovenko as President of the General Assembly during the previous session. At present
1191,General debate,A_53_PV.11_E, 1998-09-23 ,Ramgoolam,Mauritius,Navinchandra  Ramgoolam,MUS,Prime Minster of the Republic of Mauritius 
1192,General debate,A_53_PV.11_E, 1998-09-23 ,Wijdenbosch,Suriname,Jules  Wijdenbosch,SUR,President of the Republic of Suriname 
1193,General debate,A_53_PV.11_E, 1998-09-23 ,Pastrana Arango,Colombia,Andrés  Pastrana Arango,COL,President of the Republic of Colombia 
1174,General debate,A_53_PV.12_E, 1998-09-23 ,Latorre,Dominican Republic,Eduardo  Latorre,DOM,
1175,General debate,A_53_PV.12_E, 1998-09-23 ,Andrews,Ireland,David  Andrews,IRL,
1176,General debate,A_53_PV.12_E, 1998-09-23 ,Hjelm-Wallen,Sweden,Lena  Hjelm-Wallen,SWE,Minister for Foreign Affairs of Sweden
1177,General debate,A_53_PV.12_E, 1998-09-23 ,Kavan,Czech Republic,Jan  Kavan,CZE,
1178,General debate,A_53_PV.12_E, 1998-09-23 ,Matutes,Spain,Abel  Matutes,ESP,to whom I give the floor. Mr. Matutes (Spain) (interpretation from Spanish): Allow me first
1179,General debate,A_53_PV.12_E, 1998-09-23 ,Insulza,Chile,José Miguel  Insulza,CHL,on whom I now call. Mr. Insulza (Chile) (interpretation from Spanish): Allow me to congratulate you
1180,General debate,A_53_PV.12_E, 1998-09-23 ,Tarasyuk,Ukraine,Boris  Tarasyuk,UKR,
1181,General debate,A_53_PV.12_E, 1998-09-23 ,Gama,Portugal,Jaime Jose da  Gama,PRT,
1182,General debate,A_53_PV.12_E, 1998-09-23 ,Sharif,Pakistan,Mohammad  Sharif,PAK,Prime Minister of the Islamic Republic of Pakistan 
1183,General debate,A_53_PV.12_E, 1998-09-23 ,Alemán Lacayo,Nicaragua,Arnoldo  Alemán Lacayo,NIC,President of the Republic of Nicaragua 
1184,General debate,A_53_PV.12_E, 1998-09-23 ,Mainassara Bare,Niger,Ibrahim  Mainassara Bare,NER,President of the Republic of the Niger 
1185,General debate,A_53_PV.12_E, 1998-09-23 ,Aptidon,Djibouti,Hassan  Aptidon,DJI,President of the Republic of Djibouti 
1166,General debate,A_53_PV.13_E, 1998-09-24 ,Mihailova,Bulgaria,Nadezhda  Mihailova,BGR,Minister of Foreign Affairs of the Republic of Bulgaria
1167,General debate,A_53_PV.13_E, 1998-09-24 ,Yilmaz,Turkey,Mesut  Yilmaz,TUR,Prime Minister of the Republic of Turkey 
1168,General debate,A_53_PV.13_E, 1998-09-24 ,Geremek,Poland,Bronislaw  Geremek,POL,Minister for Foreign Affairs of Poland. Mr. Geremek (Poland): Allow me first to congratulate the President and wish him every success in carrying out his responsible task. 
1169,General debate,A_53_PV.13_E, 1998-09-24 ,Vajpayee,India,Atal Bihari  Vajpayee,IND,Prime Minister and Minister for Foreign Affairs of the Republic of India 
1170,General debate,A_53_PV.13_E, 1998-09-24 ,Netanyahu,Israel,Binyamin  Netanyahu,ISR,Prime Minister and Minister of Housing
1171,General debate,A_53_PV.13_E, 1998-09-24 ,Caldera,Venezuela,Rafael  Caldera,VEN,President of Republic of Venezuela the 
1172,General debate,A_53_PV.13_E, 1998-09-24 ,Flores Facusee,Honduras,Carlos  Flores Facusee,HND,Constitutional President of the Republic of Honduras 
1173,General debate,A_53_PV.13_E, 1998-09-24 ,Nena,Micronesia,Jacob  Nena,FSM,President of the Federated States of Micronesia 
1155,General debate,A_53_PV.14_E, 1998-09-24 ,Robaina Gonzalez,Cuba,Roberto  Robaina Gonzalez,CUB,
1156,General debate,A_53_PV.14_E, 1998-09-24 ,Filali,Morocco,Abdellatif  Filali,MAR,
1157,General debate,A_53_PV.14_E, 1998-09-24 ,Pangalos,Greece,Theodoros  Pangalos,GRC,
1158,General debate,A_53_PV.14_E, 1998-09-24 ,Aartsen,Netherlands,Jozias van  Aartsen,NLD,on whom I now call. Mr. van Aartsen (Netherlands) (interpretation from French): I speak to this Assembly with a sense of deference and humility. Deference
1159,General debate,A_53_PV.14_E, 1998-09-24 ,Kramplova,Slovakia,Zdenka  Kramplova,SVK,
1160,General debate,A_53_PV.14_E, 1998-09-24 ,Hariri,Lebanon,1944-2005   Rafiq Baha Hariri,LBN,Prime Minister and President of the Council of Ministers of the Lebanese Republic 
